ProductName,Mobilize Snow Conversion Tool 3.2.27+master[1c8eb06]-973.502443
CoreVersion,3.2.27
AppVersion,Not Provided
SqlFileCount,1332
SqlSizeMB,11.31
OSVersion,Unix 5.4.0.1074
PartitionKey,583a6b13-d0d5-4a1f-afe7-9128369047b4
LicenseData,071c4032-e010-4168-9529-13cba01efa6a
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
CreateSession,2022/05/30 13:52:41 +00:00
StartConversion,2022/05/30 13:52:41 +00:00
OrphanObjectsCount,0
TotalFiles,1332
TotalFilesNotGenerated,0
TotalLinesOfCode,321649
ConversionSpeed,1398
ElapsedTime,00:03:49
TotalSize,11863762
EndConversion,2022/05/30 13:56:30 +00:00
TotalErrors,15432
TotalWarnings,138145
TotalParsingErrors,0
TotalConversionErrors,0
TotalCharacterConversionRate,95
SqlIdentifiedObjects,31968
ObjectsSuccessfullyConverted,20908
TableObjectConversionRate,73
TableCharacterConversionRate,97
TableFullyConvertedOccurrences,12123
TableTotalOccurrences,16613
TableTotalParsingErrors,0
TableTotalConversionErrors,0
TableTotalWarnings,68666
TableTotalCharacters,4174353
TableTotalLinesOfCode,118985
ViewObjectConversionRate,70
ViewCharacterConversionRate,95
ViewFullyConvertedOccurrences,3143
ViewTotalOccurrences,4490
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,7624
ViewTotalCharacters,823915
ViewTotalLinesOfCode,12572
SynonymObjectConversionRate,0
SynonymCharacterConversionRate,0
SynonymFullyConvertedOccurrences,0
SynonymTotalOccurrences,0
SynonymTotalParsingErrors,0
SynonymTotalConversionErrors,0
SynonymTotalWarnings,0
SynonymTotalCharacters,0
SynonymTotalLinesOfCode,0
ProcedureObjectConversionRate,54
ProcedureCharacterConversionRate,94
ProcedureFullyConvertedOccurrences,5642
ProcedureTotalOccurrences,10416
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,72440
ProcedureTotalCharacters,4431140
ProcedureTotalLinesOfCode,185318
FunctionObjectConversionRate,0
FunctionCharacterConversionRate,0
FunctionFullyConvertedOccurrences,0
FunctionTotalOccurrences,0
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,0
FunctionTotalCharacters,0
FunctionTotalLinesOfCode,0
CLanguageFunctions,0
FunctionCallsInsideQueries,0
FunctionCallsOutsideQueries,0
FunctionsInsidePackages,434
FunctionsOutsidePackages,0
FunctionsTransformedToJavascriptFunctions,434
FunctionsTransformedToProcedures,0
FunctionsTransformedToSQLFunctions,0
JavaLanguageFunctions,0
SqlLanguageFunctions,434
WrappedFunctions,0
SequenceObjectConversionRate,0
SequenceCharacterConversionRate,0
SequenceFullyConvertedOccurrences,0
SequenceTotalOccurrences,0
SequenceTotalParsingErrors,0
SequenceTotalConversionErrors,0
SequenceTotalWarnings,0
SequenceTotalCharacters,0
SequenceTotalLinesOfCode,0
PackageObjectConversionRate,0
PackageCharacterConversionRate,0
PackageFullyConvertedOccurrences,0
PackageTotalOccurrences,0
PackageTotalParsingErrors,0
PackageTotalConversionErrors,0
PackageTotalWarnings,0
PackageTotalCharacters,0
PackageTotalLinesOfCode,0
PBodyObjectConversionRate,0
PBodyCharacterConversionRate,0
PBodyFullyConvertedOccurrences,0
PBodyTotalOccurrences,0
PBodyTotalParsingErrors,0
PBodyTotalConversionErrors,0
PBodyTotalWarnings,0
PBodyTotalCharacters,0
PBodyTotalLinesOfCode,0
DbLinkObjectConversionRate,0
DbLinkCharacterConversionRate,0
DbLinkFullyConvertedOccurrences,0
DbLinkTotalOccurrences,0
DbLinkTotalParsingErrors,0
DbLinkTotalConversionErrors,0
DbLinkTotalWarnings,0
DbLinkTotalCharacters,0
DbLinkTotalLinesOfCode,0
IndexObjectConversionRate,0
IndexCharacterConversionRate,0
IndexFullyConvertedOccurrences,0
IndexTotalOccurrences,449
IndexTotalParsingErrors,0
IndexTotalConversionErrors,0
IndexTotalWarnings,449
IndexTotalCharacters,27389
IndexTotalLinesOfCode,0
TypeObjectConversionRate,0
TypeCharacterConversionRate,0
TypeFullyConvertedOccurrences,0
TypeTotalOccurrences,0
TypeTotalParsingErrors,0
TypeTotalConversionErrors,0
TypeTotalWarnings,0
TypeTotalCharacters,0
TypeTotalLinesOfCode,0
ProcedureInsidePackageObjectConversionRate,0
ProcedureInsidePackageCharacterConversionRate,0
ProcedureInsidePackageFullyConvertedOccurrences,0
ProcedureInsidePackageTotalOccurrences,0
ProcedureInsidePackageTotalParsingErrors,0
ProcedureInsidePackageTotalConversionErrors,0
ProcedureInsidePackageTotalWarnings,0
ProcedureInsidePackageTotalCharacters,0
ProcedureInsidePackageTotalLinesOfCode,0
FunctionInsidePackageObjectConversionRate,0
FunctionInsidePackageCharacterConversionRate,0
FunctionInsidePackageFullyConvertedOccurrences,0
FunctionInsidePackageTotalOccurrences,0
FunctionInsidePackageTotalParsingErrors,0
FunctionInsidePackageTotalConversionErrors,0
FunctionInsidePackageTotalWarnings,0
FunctionInsidePackageTotalCharacters,0
FunctionInsidePackageTotalLinesOfCode,0
TotalProcedure,10416
TotalFunction,0
CloseSession,2022/05/30 13:56:37 +00:00
